term,phase,type,ruleset_scope,frequency,definition,abbreviation_or_aliases,mechanical_role,typical_value_unit,source_family,source_url
Engineering Action,v21,generic design concept,Engineering / cross-genre,high,A dedicated action spent performing battlefield engineering rather than ordinary movement or combat.,engineer task; engineering task,"Action economy for construction, clearance, demolition or preparation.",action / turn,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
Demolition Action,v21,generic design concept,Engineering / demolition,high,"A dedicated engineering action used to prepare or execute destruction of a terrain feature, obstacle or structure.",demolition task,Separates destructive engineering from general engineering activity.,action / turn,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
Prepared Demolition,v21,generic design concept,Engineering / demolition,high,A terrain feature or structure that has been pre-rigged for later destruction.,wired demolition; rigged demolition,Creates a delayed or conditional terrain-destruction state.,state / marker,Fire and Fury Battlefront Engineering Playtest Rules; MMP Where Eagles Dare Exclusive Rules,https://www.fireandfury.com/extra/engineering.shtml ; https://mmpgamers.com/support/gts/WED_Exclusive_Rules.pdf
Remove Demolition,v21,generic design concept,Engineering / counter-engineering,medium,An engineering task that neutralises previously prepared demolition charges before they can be triggered.,disarm demolition; remove charges,Counter-engineering against prepared terrain destruction.,action / test,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
Minefield Density,v21,generic design concept,Engineering / mine warfare,high,A rating describing how concentrated a minefield is and therefore how difficult or dangerous it is to cross.,mine density,Controls minefield passage difficulty without changing its physical footprint.,rating / modifier,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
Surface-Laid Minefield,v21,historical/common terminology,Engineering / mine warfare,medium,A minefield whose mines are laid on or near the surface and may therefore be easier to detect or traverse than concealed mines.,surface mines,Minefield subtype affecting detection or passage difficulty.,terrain state / modifier,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
Dummy Minefield,v21,generic design concept,Engineering / deception,high,A false minefield represented like a real one until interaction reveals that it contains no effective mines.,false minefield; decoy minefield,Area-denial bluff and information-control mechanic.,marker / hidden state,Fire and Fury Battlefront Engineering Playtest Rules; MMP Tactical Combat Series Rules,https://www.fireandfury.com/extra/engineering.shtml ; https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v10_Rules.pdf
Minefield Passage,v21,generic design concept,Engineering / mine warfare,high,The procedure or test used when a unit attempts to move through an uncleared minefield.,mine passage; minefield crossing,Resolves risk while crossing an intact mine obstacle.,test / movement,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
Marked Lane,v21,historical/common terminology,Engineering / mine warfare,high,A recognised route through a minefield that improves subsequent passage without removing the minefield as a whole.,marked mine lane; safe lane,Creates a reusable route through an otherwise persistent obstacle.,path / marker / modifier,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
Breach Action,v21,generic design concept,Engineering / obstacle reduction,high,"An action dedicated to opening a usable route through a minefield, wire or comparable obstacle.",breaching action,Creates passage through an obstacle at an action or tempo cost.,action / test,Fire and Fury Battlefront Engineering Playtest Rules,https://www.fireandfury.com/extra/engineering.shtml
By-Force Crossing,v21,generic design concept,Engineering / mine warfare,high,A deliberate attempt to cross an intact minefield without first creating a safe breach.,forced minefield crossing; force crossing,Trades speed or necessity against minefield risk.,movement / attack exposure,MMP Tactical Combat Series Rules,https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v10_Rules.pdf
Breached Minefield,v21,generic design concept,Engineering / mine warfare,high,A minefield containing an established safe or reduced-risk route while the surrounding mine obstacle remains effective.,minefield breach; breached hex,Persistent obstacle state after successful breaching.,terrain state / path,MMP Tactical Combat Series Rules,https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v10_Rules.pdf
Breach Orientation,v21,generic design concept,Engineering / obstacle reduction,medium,"The direction through which an obstacle breach is usable, limiting passage to the route actually opened.",oriented breach; breach direction,Preserves the geometry of a cleared lane rather than clearing an entire terrain area.,direction / hexside / path,MMP Tactical Combat Series Rules,https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v10_Rules.pdf
Mechanical Breaching,v21,historical/common terminology,Engineering / mine warfare,high,Opening a route through an obstacle with specialist equipment or vehicles rather than dismounted manual effort.,vehicle breaching; mechanical clearance,Provides faster or safer obstacle reduction through specialist assets.,vehicle / equipment / path,Fire and Fury Battlefront Engineering Playtest Rules; MMP Tactical Combat Series Rules,https://www.fireandfury.com/extra/engineering.shtml ; https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v10_Rules.pdf
Bottleneck,v21,generic design concept,Movement / engineering,high,A terrain feature or breach that constrains movement and creates additional exposure or congestion as units pass through it.,choke point; movement bottleneck,Models congestion and vulnerability at restricted passages.,terrain state / movement trigger,MMP Tactical Combat Series v4.02 Rules,https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v402v7_Rules.pdf
Wire Breach,v21,generic design concept,Engineering / obstacle reduction,high,"A persistent opening created through a wire obstacle, often associated with a particular crossing point or direction.",breached wire; wire gap,Converts an impassable or costly obstacle segment into a usable passage.,hexside / marker / state,MMP Brazen Chariots Rules,https://mmpgamers.com/support/gamersarchive/bcs/BCRules.pdf
Wire for Demolition,v21,generic design concept,Engineering / demolition,high,The preparation step that changes a bridge or structure from intact to ready for a later demolition attempt.,rig for demolition; arm demolition,"Separates preparation from triggering, allowing interruption and counterplay.",state / engineering test,MMP Where Eagles Dare Exclusive Rules,https://mmpgamers.com/support/gts/WED_Exclusive_Rules.pdf
Contested Demolition,v21,generic design concept,Engineering / demolition,medium,A demolition attempt triggered when enemy movement threatens a prepared structure or crossing.,reactive demolition; last-moment demolition,Turns prepared destruction into a reaction to enemy approach.,reaction / test,MMP Where Eagles Dare Exclusive Rules,https://mmpgamers.com/support/gts/WED_Exclusive_Rules.pdf
Bridge Repair,v21,historical/common terminology,Engineering / bridging,high,An engineering process that restores a destroyed or unusable crossing to a usable state.,crossing repair,Reverses terrain destruction and restores mobility.,turns / engineer capacity,MMP Where Eagles Dare Exclusive Rules,https://mmpgamers.com/support/gts/WED_Exclusive_Rules.pdf
